id,sourceRow,name,result,reviewer,confirmationSource,evidenceCount,evidenceUrls,notes
"imax-cn-0005","5","香港B+ cinema MOKO (旺角東)","same mall/venue only","codex-browser-review","codex-browser-independent-review","3","https://www.moko.com.hk/about-moko/information/ | https://www.cinema.com.hk/en/cinema/5/imax | https://www.google.com/maps/place/B%2B+cinema+MOKO/@22.3242839,114.1733005,17z","MOKO官方商场页与香港影院官方页确认B+ cinema MOKO位于新世纪广场4楼并设IMAX；公开地图确认同址坐标。当前官方页面显示影院仍在运营，因此不按队列旧的闭店信号写成历史地点；AMap未召回可靠影院POI，保守按venue-level物化。"
"imax-cn-0900","900","北京华谊兄弟影院（洋桥店）","acceptedHistoricalLocation","codex-browser-review","codex-browser-independent-review","3","https://www.bjiff.com/ | https://cinema.gaoliang.me/cinema/%E5%8C%97%E4%BA%AC%E5%8D%8E%E8%B0%8A%E5%85%84%E5%BC%9F%E5%BD%B1%E9%99%A2%EF%BC%88%E6%B4%8B%E6%A1%A5%E5%BA%97%EF%BC%89_IMAX | https://h5.imanm.com/moviev3/cinamermoviedetails/779/2435","北京电影节资料、影院历史页和票务页面共同确认洋桥店位于马家堡东路101号院银泰百货大红门店6层；当前AMap暂停营业POI仅作历史位置锚点，不把其他华谊分店作为替代。"
"imax-cn-0004","4","香港MCL CINEMAS（K11 Art House）","same mall/venue only","codex-browser-review","codex-browser-independent-review","3","https://m.mclcinema.com/Ticketing/Cinema?cinemaCode=017&language=zh-TW | https://www.k11musea.com/en/shop/k11-art-house/ | https://www.google.com/maps/place/K11+Art+House(Cinema)/@22.2943715,114.1744016,17z","MCL官方页和K11 MUSEA官方页确认K11 Art House位于K11 MUSEA 4楼并设IMAX；公开地图显示当前影院仍在运营。AMap仅召回泛化K11场馆候选，按venue-level物化，不伪造影院POI。"
"imax-cn-0846","846","","same entity","codex-browser-review","codex-browser-independent-review","1","https://m.dongfangfuli.com/cinema/detail/8558?city=57","东方福利网独立列出中视国际影城IMAX铁建店，地址为成都市成华区东华二路38号中国铁建广场4号楼四层；与AMap候选城市、铁建商业体、楼层和IMAX分店关系一致。"
"imax-cn-0892","892","","same entity","codex-browser-review","codex-browser-independent-review","3","https://m.sohu.com/a/222412953_99959616 | https://www.dl-library.net.cn/wenxian/dlnet/content.php?id=442039 | https://static.cninfo.com.cn/finalpage/2016-08-04/1202535713.PDF","独立影院名单、上影资料和上市公司招股书均把百年港湾店锁定到大连西岗区百年港湾奥特莱斯A2区二楼；SFC上影旧称与AMap当前上影国际影城名称为同一分店关系。"
"imax-cn-0164","164","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E6%B7%AE%E5%AE%89%E5%B9%B8%E7%A6%8F%E8%93%9D%E6%B5%B7%E5%BD%B1%E5%9F%8E%EF%BC%88%E6%BF%80%E5%85%89IMAX%E5%BA%97%EF%BC%89_IMAX | https://m.thejie.com/writing/14812","独立影院指南和影院名单均将淮安IMAX激光店定位在清江浦区师专路1号花漾城二期华信MALL 6层/6-7层；排除了淮安同城其他幸福蓝海分店。"
"imax-cn-0002","2","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.yohomall.hk/zh-hk/shopping/3790/My%20Cinema | https://www2.cinema.com.hk/en/cinema/10","YOHO MALL官方商户页和百老汇院线官方售票页均确认MY CINEMA位于YOHO MALL I一楼1021号铺；AMap候选的元朗形点商场地址与官方地址一致。"
"imax-cn-0010","10","SFC上影影城（天山缤谷广场IMAX店）","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.maoyan.com/cinema/16051?_v_=yes&merCode=1000152 | https://locatecinemas.com/cinemas/china/shanghai/","AMap原候选前三条均为其他分店，但同一已有AMap缓存中存在缤谷广场影院POI B0FFH8FDJC。猫眼和独立影院目录均把天山缤谷IMAX店定位到天山路345号缤谷广场2期5层，因此人工选择该缓存候选，拒绝大上海、宝山和七宝分店。"
"imax-cn-0017","17","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E4%B8%8A%E6%B5%B7%E5%B9%B8%E7%A6%8F%E8%93%9D%E6%B5%B7%E5%9B%BD%E9%99%85%E5%BD%B1%E5%9F%8E%EF%BC%88%E9%BE%99%E6%B9%96%E5%AE%9D%E5%B1%B1%E5%A4%A9%E8%A1%97IMAX%E5%BA%97%EF%BC%89_IMAX | https://m.thepaper.cn/newsDetail_forward_8372558","独立影院指南、票务资料和宝山区复业报道均把宝山龙湖IMAX店定位到丹霞山路50弄1号龙湖上海宝山天街4层，排除崇明陈家镇和宝山北城时代候选。"
"imax-cn-0047","47","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.shanghai.gov.cn/nw15343/20251224/e6ee803e34b6419daf86b97d90afa9a6.html | https://www.jfdaily.com/sgh/detail?id=1709731","上海市政府开业报道和上海媒体均确认前湾印象城MEGA内的寰映影城及IMAX影厅；地址为闵行区联友路388号，楼层为L4，与AMap候选完全对应。"
"imax-cn-0054","54","","same entity","codex-browser-review","codex-browser-independent-review","2","https://m.dongfangfuli.com/cinema/list?city=151&region_id=1281 | https://www.maigoo.com/news/664895.html","东方福利网和哈尔滨万达影院名单均将五常店定位到五常市金街时代购物广场，支持AMap的时代广场候选；不是哈尔滨市区其他万达分店。"
"imax-cn-0061","61","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.sohu.com/a/191517764_99960412 | https://www.maigoo.com/news/664895.html","万达影城公开开业报道明确写出松雷店位于哈尔滨市南岗区东大直街329号松雷商厦7层并设IMAX，独立影院名单再次确认该分店，排除乐松和香坊候选。"
"imax-cn-0071","71","","same entity","codex-browser-review","codex-browser-independent-review","1","https://www.vscinemas.com.tw/theater/detail.aspx?id=11","威秀影城官方页面直接确认台中大遠百威秀影城位于台中市西屯区台湾大道三段251号13楼，并列出数字IMAX及381座影厅。"
"imax-cn-0073","73","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.vscinemas.com.tw/brand/theater.aspx?A=3&B=16 | https://data.tainan.gov.tw/Resource/b688f1f6-fb23-45d7-960d-a18b395263a3","威秀官方和台南市政府资料均确认台南南紡威秀影城位于中华东路一段366号5楼；同城不同楼层写法属于楼层字段差异，不影响影院实体。"
"imax-cn-0075","75","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.vscinemas.com.tw/theater/detail.aspx?id=21 | https://moviego.funorange.com.tw/theater/104","威秀官方页面和独立影院资料均确认花莲新天堂乐园店位于吉安乡南滨路一段503号，并设IMAX；城市和商场关系闭环。"
"imax-cn-0077","77","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.vscinemas.com.tw/theater/detail.aspx?id=18 | https://moviego.funorange.com.tw/theater/102","威秀影城官方页面确认高雄大遠百威秀影城覆盖高雄大遠百13至16楼；官方公开资料和影院资料均支持三多四路21号13楼候选。"
"imax-cn-0082","82","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E5%8D%97%E4%BA%AC%E9%87%91%E9%80%B8%E5%BD%B1%E5%9F%8E%EF%BC%88%E5%85%89%E7%BE%8E%E6%B1%9F%E5%AE%81%E5%BC%98%E9%98%B3IMAX%E5%BA%97%EF%BC%89_IMAX | https://www.maigoo.com/news/665459.html","公开影院指南和南京金逸影院名单均将光美江宁弘阳IMAX店定位到胜太路弘阳家居2号门2F/4F；AMap名称中的弘阳家居店是同一商场别名。"
"imax-cn-0087","87","","same entity","codex-browser-review","codex-browser-independent-review","3","https://cinema.gaoliang.me/cinema/%E5%8D%97%E4%BA%AC%E5%B9%B8%E7%A6%8F%E8%93%9D%E6%B5%B7%E5%9B%BD%E9%99%85%E5%BD%B1%E5%9F%8E%EF%BC%88%E7%87%95%E5%AD%90%E7%9F%B6%E6%8B%9B%E5%95%86%E8%8A%B1%E5%9B%AD%E5%9F%8EIMAX%E5%BA%97%EF%BC%89_IMAX | https://www.nsi.edu.cn/_upload/article/files/1c/f7/f00d849c49c5b462e1e7a058a428/bb2a0eac-3198-4301-baad-59576caac662.pdf | https://www.archina.com/index.php?a=show&g=works&id=5240&m=index","独立影院指南、幸福蓝海公司披露和招商花园城项目资料均确认燕子矶招商花园城4层的幸福蓝海IMAX影城，排除玄武花园城等同城分店。"
"imax-cn-0093","93","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E5%8D%97%E4%BA%AC%E6%98%9F%E8%BD%B6IMAX%E5%BD%B1%E5%9F%8E%EF%BC%88%E9%9B%A8%E8%8A%B1%E5%90%BE%E6%82%A6%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89_IMAX | https://m.dongfangfuli.com/cinema/detail/13365?city=100","独立影院指南、东方福利网和影院名单均将雨花吾悦广场店定位到古雄大道211号吾悦广场F7层，并注明IMAX；AMap候选与网页证据一致。"
"imax-cn-0094","94","","same entity","codex-browser-review","codex-browser-independent-review","3","https://cinema.gaoliang.me/cinema/%E5%8D%97%E4%BA%AC%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E6%B5%A6%E5%8F%A3%E7%99%BD%E9%A9%AC%E5%BA%97%EF%BC%89_IMAX | https://www.nsi.edu.cn/_upload/article/files/1c/f7/f00d849c49c5b462e1e7a058a428/bb2a0eac-3198-4301-baad-59576caac662.pdf | https://www.maigoo.com/news/664688.html","独立影院指南、南京高校公开影院名录和南京万达影院名单均确认浦口白马店在江浦街道狮山路5-1号白马生活广场4层，排除南京其他万达分店。"
"imax-cn-0109","109","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E8%8B%8F%E5%B7%9E%E6%98%9F%E5%85%89%E5%98%89%E6%98%A0%E5%BD%B1%E5%9F%8E%EF%BC%88IMAX%E9%BE%99%E6%B9%96%E8%8B%8F%E5%B7%9E%E7%9B%B8%E5%9F%8E%E5%A4%A9%E8%A1%97%E5%BA%97%EF%BC%89_IMAX | https://www.jsxc.gov.cn/llsk/xcpp/dzxt/202506/P020250717544383554688.pdf","独立影院指南和相城区公开报道均确认星光嘉映影城IMAX龙湖苏州相城天街店位于相城大道1399号龙湖相城天街F6层。"
"imax-cn-0123","123","","same entity","codex-browser-review","codex-browser-independent-review","3","https://static.sse.com.cn/stock/disclosure/announcement/c/201906/000021_20190603_24BG.pdf | https://www.liyang.gov.cn/html/czly/2026/IQKAQDDQ_0429/237610.html | https://www.sina.cn/news/detail/5048439740834347.html","幸福蓝海公司披露、溧阳市政府活动页面和独立影院资料均确认溧阳上河城店在平陵中路369号上河城3层3305，排除埭头等其他溧阳分店。"
"imax-cn-0139","139","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E9%95%87%E6%B1%9F%E6%98%9F%E8%BD%B6IMAX%E5%BD%B1%E5%9F%8E%EF%BC%88%E4%B8%81%E5%8D%AF%E5%90%BE%E6%82%A6%E5%B9%BF%E5%9C%BA%E6%97%97%E8%89%A6%E5%BA%97%EF%BC%89_IMAX | https://www.maoyan.com/cinema/23979?_v_=yes&merCode=1000152","独立影院指南和猫眼均确认镇江星轶IMAX影城丁卯吾悦广场旗舰店位于丁卯桥路与经五路交汇处新城吾悦广场4层4021。"
"imax-cn-0145","145","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.maigoo.com/news/665297.html | https://www.nsi.edu.cn/_upload/article/files/1c/f7/f00d849c49c5b462e1e7a058a428/bb2a0eac-3198-4301-baad-59576caac662.pdf","南通万达影院名单和公开影院名录均把港闸万达广场店定位到深南路9号万达广场4层；港闸旧行政称呼与当前崇川名称为同一地点变更。"
"imax-cn-0175","175","","same entity","codex-browser-review","codex-browser-independent-review","3","https://www.wanda.cn/2015/2015latest_1016/32111.html | https://www.ruyifilm.com/gywm/yclb/hndq/gds/0df29c4e965d11e982dc005056835733.html | https://www.maigoo.com/news/683445.html","万达官网IMAX挂幕报道、儒意电影资料和独立影院名单均确认厚街店在康乐北路6号厚街万达广场4层，排除厚街万科城市广场店。"
"imax-cn-0186","186","","same entity","codex-browser-review","codex-browser-independent-review","3","https://www.sohu.com/a/1003074983_121123774 | https://www.yga.cn/mall/67.html | https://cinema.gaoliang.me/cinema/%E5%B9%BF%E5%B7%9E%E7%99%BE%E4%B8%BD%E5%AE%AB%E5%BD%B1%E5%9F%8E%EF%BC%88IMAX%E7%8C%8E%E5%BE%B7igc%E5%BA%97%EF%BC%89_IMAX","百老汇影展公开页面、商场资料和独立影院指南均确认猎德igc店位于兴民路222号天汇广场igc四层416；天环店是另一分店，已排除。"
"imax-cn-0188","188","","same entity","codex-browser-review","codex-browser-independent-review","3","https://media.corporate-ir.net/media_files/IROL/25/254079/2016/%E6%96%B0%E9%97%BB%E7%A8%BF-IMAX%E4%B8%AD%E5%9B%BD%E6%90%BA%E6%89%8B%E9%87%91%E逸步%E5%85%A5400%E5%B9%95%E6%97%B6%E4%BB%A3%20%E5%B0%86%E5%8A%A9%E5%8D%8E%E5%8D%97%E8%99%8E%E5%93%81%E7%89%8C%E5%8D%87%E7%BA%A7.pdf | https://cinema.gaoliang.me/cinema/%E5%B9%BF%E5%B7%9E%E9%87%91%E9%80%B8%E5%BD%B1%E5%9F%8E%EF%BC%88%E5%85%89%E7%BE%8E%E6%B2%99%E6%B9%BEIMAX%E5%BA%97%EF%BC%89_IMAX | https://www.maigoo.com/news/665446.html","IMAX中国官方新闻稿和独立影院指南均确认广州金逸光美沙湾IMAX店/番禺沙湾IMAX店位于荔园新天地3层C15；公开票务资料偶有1502号与AMap 1520号门牌差异，但分店名称、商场、楼层和IMAX厅完全一致，采用AMap分店坐标。"
"imax-cn-0199","199","","same entity","codex-browser-review","codex-browser-independent-review","3","https://www.yingcai520.com/MobileToPages.jy/toCinemaDetail?cinemaId=116762 | https://gz.esf.fang.com/loupan/shop/2811209728/housedetail.htm | https://crm.htsc.com.cn/pdf_finchina/CNSESZ_STOCK/2019/2019-10/2019-10-25/5701576.pdf","独立影院售票页、广州融创茂项目资料和万达公司披露均确认花都融创茂店位于凤凰北路63号融创茂购物中心3层并设IMAX。"
"imax-cn-0210","210","","same entity","codex-browser-review","codex-browser-independent-review","3","https://www.conghua.gov.cn/zwgk/zwwgk/fwgk/content/post_9916899.html | https://cinema.gaoliang.me/cinema/%E5%B9%BF%E5%B7%9E%E9%87%91%E9%80%B8%E5%BD%B1%E5%9F%8E%EF%BC%88%E4%BB%8E%E5%8C%96%E8%BF%9C%E8%BE%BE%E6%B1%87%E8%81%9AIMAX%E5%BA%97%EF%BC%89_IMAX | https://www.maigoo.com/news/665446.html","从化区政府审批公示、独立影院指南和影院票务页面均确认金逸从化远达汇聚IMAX店在从城大道107号远达汇聚4层，排除海乐荟和海珠城候选。"
"imax-cn-0221","221","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E6%B7%B1%E5%9C%B3%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E7%9B%90%E7%94%B0%E5%A3%B9%E6%B5%B7%E5%9F%8E%E5%BA%97%EF%BC%89_IMAX | https://www.guandian.cn/article/20181121/210564.html","独立影院指南和万科商业项目资料共同确认盐田壹海城/壹海城·ONE MALL内万达影城位于海景二路万科ONEMALL 3层；壹海城品牌名与当前AMap项目名为同一商业体。"
"imax-cn-0236","236","","same entity","codex-browser-review","codex-browser-independent-review","3","https://www.wanda.cn/2013/2013latest_1121/25788.html | https://wjw.sz.gov.cn/attachment/1/1708/1708618/12756247.pdf | https://m.wandacinemas.com/memberrights","万达官网历史报道、深圳市卫生许可名录和万达官方门店页共同确认海雅广场店位于建安一路99号海雅广场/海雅缤纷城4层；海雅广场与海雅缤纷城是同一商业体的旧称/现名。拒绝坪山、光明等候选。"
"imax-cn-0248","248","","same entity","codex-browser-review","codex-browser-independent-review","1","https://maps.apple.com/place?auid=1118368695428894&lsp=57879","Apple Maps独立地点页确认佛山万达影城悦汇广场店在南海大道北81号悦汇广场南海A区5层；与AMap候选完全一致，排除佛山南海万达和南海万科广场分店。"
"imax-cn-0264","264","","same entity","codex-browser-review","codex-browser-independent-review","1","https://www.qingcheng.gov.cn/qyqcwgdltj/attachment/0/10/10458/1167235.pdf","清城区政府资料确认清远清城万达广场引进万达影城；公开地图候选的湖西路89号、清城区与原始清城万达广场店一致。"
"imax-cn-0274","274","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.maigoo.com/citiao/985903.html | https://creditcard.ecitic.com/source/zh/userpage/youhui/120401/sh/dq.pdf","公开影院资料将重庆万达影城巴南店锁定在渝南大道297号巴南万达广场4层，与AMap候选、城市和原始分店名完全一致。"
"imax-cn-0300","300","","same entity","codex-browser-review","codex-browser-independent-review","2","https://maps.apple.com/place?_provider=57879&address=Wanfeng+Road+No.68+Courtyard+INZONE+Harmony+Floor+5F+501%2C+Fengtai%2C+Beijing+China&coordinate=39.882569%2C116.296522&name=Hengye+International+Studios+%28Beijing+Liuliqiao+IMAX+Branch%29&place-id=H2710I3F926806A393C | https://m.dongfangfuli.com/cinema/detail/4745?city=222","Apple Maps和影院票务资料均将北京六里桥恒业影城定位在丰台区万丰路68号银座和谐广场5层；与AMap候选一致。"
"imax-cn-0318","318","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E5%8C%97%E4%BA%AC%E5%8D%9A%E7%BA%B3%E5%9B%BD%E9%99%85%E5%BD%B1%E5%9F%8E%EF%BC%88%E6%9C%9D%E9%98%B3%E5%8C%97%E8%8B%91%E5%BA%97%EF%BC%89_IMAX | https://m.winshang.com/news715140.html","独立影院指南把历史/原始名“朝阳北苑店”对应到北苑东路19号龙湖北京北苑天街5层；龙湖商业资料也确认该项目引进博纳国际影城。拒绝太阳宫和悠唐等其他北京分店。"
"imax-cn-0319","319","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.sina.cn/news/detail/5028169936011787.html | https://cinema.gaoliang.me/cinema/%E5%8C%97%E4%BA%AC%E5%AF%B0%E6%98%A0%E5%BD%B1%E5%9F%8E%EF%BC%88%E6%98%8C%E5%B9%B3%E5%90%88%E7%94%9F%E6%B1%87%E5%BA%97%EF%BC%89_CINITY_cinity-8","北京日报、IMAX公开报道和影院指南均确认北京超极合生汇B2层为寰映影城昌平合生汇店；AMap候选名称与地址一致。"
"imax-cn-0321","321","","same entity","codex-browser-review","codex-browser-independent-review","2","https://jinyiyingshi.com.cn/ | https://bj.bendibao.com/news/2020723/277883.shtm","金逸官方及公开影院资料均确认朝阳北路101号朝阳大悦城8层的金逸影城朝阳大悦城店，并设IMAX；AMap坐标和地址一致。"
"imax-cn-0332","332","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.ruyifilm.com/gywm/yclb/dbdq/lns/0d834485965d11e982dc005056835733.html | https://pic.bankofchina.com/bocappd/appform_1/201412/P020141231511419593148.pdf","万达公开影院名录和儒意影城资料共同确认沈阳北一路店位于北一中路1号万达广场4层并设IMAX；排除沈北、铁西中心等其他分店。"
"imax-cn-0334","334","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.wandaplazas.com/2017/company_0731/1617.html | https://cinema.gaoliang.me/cinema/%E5%A4%A7%E8%BF%9E%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E6%99%AE%E5%85%B0%E5%BA%97%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89_IMAX","万达官方开业资料确认普兰店万达广场独家引进万达影城；影院指南和影院购票页将其对应到普兰店万达广场3层。"
"imax-cn-0335","335","","same entity","codex-browser-review","codex-browser-independent-review","3","https://cinema.gaoliang.me/cinema/%E5%A4%A7%E8%BF%9E%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E5%BA%84%E6%B2%B3%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89_IMAX | https://m.maigoo.com/news/665300.html | https://www.dlzh.gov.cn/html/newsShow.html?cid=669&id=32932","影院指南、万达影城名录和庄河市政府资料均把庄河店定位在延安路南段918号庄河万达广场3层，排除大连其他万达分店。"
"imax-cn-0347","347","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.wanda.cn/2016/2016latest_1120/34044.html | https://www.maigoo.com/citiao/1073379.html","万达官方开业报道和商场资料共同确认鲅鱼圈万达广场四层为万达影城，地址为蝴蝶泉路45号；与候选一致。"
"imax-cn-0364","364","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E6%9B%B2%E9%9D%96%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E7%BB%8F%E5%BC%80%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BA%E5%BA%97%EF%BC%89_IMAX | https://m.wandacinemas.com/memberrights","影院指南和万达官方门店页均确认曲靖经开万达广场店位于学府路361号曲靖万达广场；选择经开店而非218广场或白泥坡候选。"
"imax-cn-0367","367","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.livat.cn/zh-cn/wuhan | https://m.dongfangfuli.com/cinema/detail/2436?city=67","荟聚官方项目页确认主力商户包含金逸影城；东方福利网把光美荟聚IMAX店锁定在荟聚购物中心4层，名称差异是门店简称。"
"imax-cn-0396","396","","same entity","codex-browser-review","codex-browser-independent-review","2","https://cinema.gaoliang.me/cinema/%E9%95%BF%E6%B2%99%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E5%BC%80%E7%A6%8F%E4%B8%87%E8%BE%BE%E5%B9%BF%E5%9C%BAIMAX%E5%BA%97%EF%BC%89_IMAX | https://www.ruyifilm.com/gywm/yclb/hzdq/huns/0d644812965d11e982dc005056835733.html","长沙开福万达影城的公开影院指南、儒意影城资料和影院目录均确认湘江中路589号开福万达广场5层并设IMAX；此处与886的CGV串店问题无关。"
"imax-cn-0398","398","","same entity","codex-browser-review","codex-browser-independent-review","2","https://zhengxin-pub.cdn.bcebos.com/tender/61728290c4aa0be3437aebb1d7fe1d09/%EF%BC%88%E5%B7%B2%E5%8E%8B%E7%BC%A9%EF%BC%89%E5%B8%B8%E5%BE%B7%E6%B4%A5%E5%B8%82.pdf | https://jt.dushiquan.net/changsha/station_5812/zb/7.html","公开影院名录和城市影院目录均将长沙梅溪湖步步高IMAX店对应到金星中路428号步步高商业广场9层；拒绝开福万达和步步高梅溪新天地候选。"
